Year,Mammals,Birds,Reptiles,Amphibians,Fishes,Insects,Molluscs,Other_invertebrates
2006,162,181,73,442,253,68,265,84
2007,163,189,79,441,254,69,268,86
2008,188,190,86,475,289,70,268,99
2009,188,192,93,484,306,89,291,99
2010,188,190,106,486,376,89,373,132
2011,194,189,137,498,414,91,487,132
2012,196,197,144,509,415,119,549,132
2013,196,198,164,520,413,125,553,154
2014,213,213,174,518,443,168,576,205
2015,209,218,180,528,446,176,576,209
2016,204,225,237,546,461,226,586,211
2017,202,222,266,552,468,273,625,243
2018,201,224,287,550,486,300,633,252
2019,203,225,309,588,592,311,667,270
2020,221,223,324,650,666,347,682,282
2021,229,225,433,673,739,408,717,290
